age,income,zip_code,tenure_months,contract_type,payment_method,monthly_charges,total_charges,has_internet,has_online_security,has_online_backup,has_device_protection,has_tech_support,has_streaming_tv,has_streaming_movies,has_phone,has_multiple_lines,num_support_calls,num_complaints,avg_call_duration_min,nps_score,data_usage_gb,minutes_used,sms_sent,competitor_price_diff,signup_month,last_interaction_days,churned
36.83881507036642,50744.749307680235,977,14.011030178014561,1-year,Credit card,205.82330214893986,2544.6840679329084,0,1,1,0,0,1,1,1,0,4,2,3.2064602325749685,0.0,0.0,111.6462938622216,57,8.417898060730321,6,34.01748999073517,0
19.9522408187231,58513.262315351756,176,23.391625385109208,Month-to-month,Credit card,74.83608300113842,1862.7570141068497,1,1,0,0,1,0,0,1,0,5,2,2.2620361400477624,7.0,409.70758088177007,246.7443991315035,57,8.452499219408535,11,37.46332045206313,0
18.0,207702.71202278807,667,15.058482457029665,Month-to-month,Credit card,59.534108646539366,968.1322507882086,1,1,1,0,0,0,0,1,1,1,4,9.022739050342011,10.0,130.11491115034008,244.27948596740578,45,-12.430058904124383,5,28.531370993368558,0
46.84404824059949,24943.27669446001,360,33.969970645639734,Month-to-month,Bank transfer,91.2116981781245,2587.869347333593,1,0,0,0,0,1,0,1,1,2,3,5.839867060584222,8.0,6.233518932503285,518.290954047803,51,38.59667146569232,10,2.176824798903853,1
33.753179549486,60467.6771310056,203,44.764808543675464,1-year,Mailed check,57.28495975078754,2745.0067445418613,1,1,1,0,0,0,0,1,0,1,4,3.297983968385151,,31.563691926209962,648.6457726979758,54,33.70924412102973,8,3.118735690137996,0
18.0,,898,37.19862187531024,Month-to-month,Bank transfer,42.970472476829954,1516.6304499006408,0,0,0,0,0,0,0,1,1,3,3,5.688301105997127,4.0,0.0,238.36802837324282,56,0.20530397325287097,8,77.26477202891377,0
40.125160709625256,78715.17848838966,63,25.62311908993721,2-year,Credit card,44.57860143989644,985.0425548263869,0,0,0,1,1,0,0,1,1,1,1,13.110249265287685,1.0,0.0,92.34896757792953,50,24.451104355613285,10,3.383029392483101,0
39.02833126112198,33989.53420949681,212,14.242138190497975,Month-to-month,Bank transfer,45.30775724437271,697.9174169226075,0,1,0,1,1,1,0,0,0,5,3,9.389381983897216,5.0,0.0,0.0,0,-7.3856381184748665,8,3.6974517980869246,0
27.360395108060295,78396.07116076823,893,70.20208105188283,1-year,Credit card,79.42439600753812,5230.785015210573,1,0,0,1,1,1,0,1,1,3,0,5.952043073058887,,428.3164895208231,43.2878349535928,55,-6.962751302993225,4,41.91885476871682,0
39.47814795547205,15501.817239342663,27,4.050784116865086,2-year,Credit card,25.51293900800499,103.76318420611169,1,0,0,1,1,0,0,1,1,6,2,4.734137256861214,2.0,1441.2026767058803,251.84353916084837,41,-8.219223377335622,2,35.822037652117,0
39.37364477666324,97436.50970255015,135,15.134898398224628,Month-to-month,Credit card,121.90827388671272,1540.777474998549,1,0,0,1,1,1,1,0,1,1,2,17.986024204063078,4.0,56.49741984214368,0.0,0,-6.330160970850782,11,1.7116125642381623,0
18.0,,291,11.55674148547099,1-year,Electronic check,130.28859051631522,1736.3049860518581,1,0,0,1,1,1,1,1,1,3,0,14.603552028075683,,5.767750501417595,259.3787966954504,48,-4.706879015214716,7,80.11837695939167,0
63.4263877987811,15000.0,337,23.465896064254252,2-year,Credit card,96.95138020216072,2359.7806492460477,1,1,1,0,1,1,0,1,1,2,1,12.138397015848765,9.0,3.125131685949343,218.86223739314468,60,-2.8921134462517033,4,22.385055837751374,0
24.71414466441695,160059.02179006874,577,16.35904551982756,Month-to-month,Bank transfer,90.77738352226972,1356.5267348030777,1,1,0,0,1,0,0,0,0,1,3,26.506501473581864,,185.8882480022627,0.0,0,9.458644414615165,3,118.4900772666306,1
67.21056946379565,18209.37939755954,407,18.526817169164772,1-year,Bank transfer,77.16372131502541,1438.4002169537996,1,1,0,1,0,0,0,1,1,6,3,26.671916211131723,5.0,1.055644453747694,307.2003183227871,51,-8.52409028556308,6,12.220616255712383,1
35.39229050685828,,698,6.728630858126945,Month-to-month,Bank transfer,44.722629654554716,273.2064201809276,1,0,0,1,0,0,0,1,0,4,2,3.317896740181099,3.0,56.59441908192268,228.33194507534907,58,7.5883952473313325,8,46.76590894153189,0
